credit_score,income,loan_amount,employment_status,label
775,31026,23309,1,0
721,95517,17925,0,0
562,100908,40123,0,0
726,93898,24906,0,0
697,117155,22670,0,0
726,132268,49071,0,0
679,149170,42305,1,0
706,77555,29503,0,0
768,35944,41968,0,0
655,131249,23443,1,0
752,50057,11206,1,1
666,30210,42992,1,0
566,52542,16147,1,0
568,50107,34845,1,0
784,48434,33938,0,0
626,142758,45092,1,0
725,124291,11929,0,0
781,128661,37094,0,0
741,59263,15467,1,1
704,92102,12349,0,0
580,47496,10096,1,0
586,26004,42269,0,0
736,43854,10484,0,0
697,132652,21521,0,0
597,51608,41858,1,0
566,99954,25104,0,0
600,54358,17792,0,0
656,109963,24379,0,0
614,136453,24029,1,0
567,28926,11265,0,0
584,47731,27430,1,0
786,84736,15499,1,1
778,126142,47175,1,1
721,53137,34233,1,0
742,110565,27086,0,0
712,112832,41859,1,1
608,60004,36659,1,0
578,70225,34116,0,0
574,32803,32828,0,0
703,114839,10446,0,0
744,26774,25475,0,0
751,74181,47607,1,0
744,25830,35195,1,0
562,44058,27914,0,0
652,36522,24344,1,0
766,46015,37699,1,0
792,125013,41426,1,1
705,95863,23590,1,1
727,50128,31990,1,0
596,146446,47275,0,0
598,107214,29574,0,0
736,126122,44782,1,1
742,94828,47115,1,1
699,119344,10114,0,0
699,50358,49747,0,0
678,81075,20725,1,0
647,123623,49481,1,0
634,102132,48551,1,0
681,37696,14439,0,0
662,53079,28661,0,0
614,63841,46605,1,0
567,122437,46370,1,0
647,71437,46971,0,0
604,125807,14285,0,0
685,61769,28439,1,1
675,70127,30965,1,0
634,65766,25516,1,0
552,106571,44474,0,0
637,50064,21764,1,0
684,99339,38378,1,1
591,37193,17121,1,0
627,131075,29157,1,0
572,39622,21574,0,0
596,43773,10729,0,0
563,65110,33280,0,0
750,59778,26301,0,0
583,111729,16261,1,0
715,27147,43947,0,0
772,62642,17273,0,0
652,73520,31125,1,0
568,135655,18497,1,0
769,115670,10426,0,0
554,142674,29745,0,0
597,78150,38329,1,0
658,64033,33906,1,0
698,110594,10185,0,0
610,80924,26838,1,0
749,110833,14003,0,0
733,64407,24945,1,1
566,73265,39564,1,0
704,34486,43896,1,0
766,42204,40942,1,0
775,96915,15817,1,1
566,96675,35828,1,0
635,116798,32726,1,0
568,30830,48800,0,0
682,30351,42053,0,0
792,33506,22544,1,0
597,98667,30715,1,0
729,59169,37546,1,0
581,81845,35047,0,0
558,147355,38023,0,0
738,148937,35689,0,0
695,57779,21439,0,0
655,45925,40138,1,0
740,41857,37877,1,0
734,105319,28471,1,1
768,104033,36518,0,0
757,108820,33689,1,1
780,147011,27984,0,0
585,135731,12851,1,0
647,145614,13289,0,0
551,87263,12601,1,0
625,76241,44280,0,0
716,123607,29897,1,1
796,132974,13947,0,0
588,53848,37080,0,0
763,110592,21084,1,1
559,62821,11002,1,0
673,36938,29412,1,0
719,31144,14450,1,1
580,30625,18391,1,0
630,62466,41794,0,0
596,60916,31428,0,0
596,83969,30481,1,0
558,127126,45995,0,0
597,29145,26188,1,0
706,74204,39871,1,0
600,88179,30604,1,0
769,79137,49045,1,0
635,85882,28097,1,0
695,59083,34649,0,0
616,110427,42737,0,0
760,44221,28110,1,0
800,80307,24259,1,1
799,136382,39038,0,0
736,32496,39007,1,0
630,28940,33559,0,0
670,139138,41676,0,0
635,85526,17068,1,0
608,87909,12718,1,0
684,139097,12029,0,0
771,138395,37447,1,1
646,102219,27850,0,0
701,137966,43753,0,0
800,111579,20180,0,0
695,114906,39598,1,1
777,135061,24242,1,1
